year,body,kind,description
-486,Jupiter,due-east,Jupiter rises due east over Giza
-480,Jupiter,due-east,Jupiter rises due east over Giza
-478,Saturn,due-east,Saturn rises due east over Giza
-474,Jupiter,due-east,Jupiter rises due east over Giza
-469,Jupiter,due-east,Jupiter rises due east over Giza
-468,Uranus,due-east,Uranus rises due east over Giza
-464,Saturn,due-east,Saturn rises due east over Giza
-462,Jupiter,due-east,Jupiter rises due east over Giza
-457,Jupiter,due-east,Jupiter rises due east over Giza
-450,Jupiter,due-east,Jupiter rises due east over Giza
-449,Saturn,due-east,Saturn rises due east over Giza
-445,Jupiter,due-east,Jupiter rises due east over Giza
-445,Neptune,due-east,Neptune rises due east over Giza
-438,Jupiter,due-east,Jupiter rises due east over Giza
-434,Saturn,due-east,Saturn rises due east over Giza
-433,Jupiter,due-east,Jupiter rises due east over Giza
-427,Jupiter,due-east,Jupiter rises due east over Giza
-426,Uranus,due-east,Uranus rises due east over Giza
-421,Jupiter,due-east,Jupiter rises due east over Giza
-419,Saturn,due-east,Saturn rises due east over Giza
-415,Jupiter,due-east,Jupiter rises due east over Giza
-409,Jupiter,due-east,Jupiter rises due east over Giza
-405,Saturn,due-east,Saturn rises due east over Giza
-403,Jupiter,due-east,Jupiter rises due east over Giza
-397,Jupiter,due-east,Jupiter rises due east over Giza
-391,Jupiter,due-east,Jupiter rises due east over Giza
-390,Saturn,due-east,Saturn rises due east over Giza
-386,Jupiter,due-east,Jupiter rises due east over Giza
-384,Uranus,due-east,Uranus rises due east over Giza
-379,Jupiter,due-east,Jupiter rises due east over Giza
-376,Saturn,due-east,Saturn rises due east over Giza
-374,Jupiter,due-east,Jupiter rises due east over Giza
-367,Jupiter,due-east,Jupiter rises due east over Giza
-363,Neptune,due-east,Neptune rises due east over Giza
-362,Jupiter,due-east,Jupiter rises due east over Giza
-360,Saturn,due-east,Saturn rises due east over Giza
-355,Jupiter,due-east,Jupiter rises due east over Giza
-350,Jupiter,due-east,Jupiter rises due east over Giza
-346,Saturn,due-east,Saturn rises due east over Giza
-344,Jupiter,due-east,Jupiter rises due east over Giza
-342,Uranus,due-east,Uranus rises due east over Giza
-338,Jupiter,due-east,Jupiter rises due east over Giza
-332,Jupiter,due-east,Jupiter rises due east over Giza
-331,Saturn,due-east,Saturn rises due east over Giza
-326,Jupiter,due-east,Jupiter rises due east over Giza
-320,Jupiter,due-east,Jupiter rises due east over Giza
-317,Saturn,due-east,Saturn rises due east over Giza
-314,Jupiter,due-east,Jupiter rises due east over Giza
-308,Jupiter,due-east,Jupiter rises due east over Giza
-303,Jupiter,due-east,Jupiter rises due east over Giza
-302,Sun,eclipse-total,"Total solar eclipse over Giza, -302-03-28"
-301,Saturn,due-east,Saturn rises due east over Giza
-300,Uranus,due-east,Uranus rises due east over Giza
-296,Jupiter,due-east,Jupiter rises due east over Giza
-291,Jupiter,due-east,Jupiter rises due east over Giza
-287,Saturn,due-east,Saturn rises due east over Giza
-284,Jupiter,due-east,Jupiter rises due east over Giza
-280,Neptune,due-east,Neptune rises due east over Giza
-279,Jupiter,due-east,Jupiter rises due east over Giza
-277,Sun,eclipse-annular,"Annular solar eclipse over Giza, -277-11-14"
-272,Jupiter,due-east,Jupiter rises due east over Giza
-272,Saturn,due-east,Saturn rises due east over Giza
-267,Jupiter,due-east,Jupiter rises due east over Giza
-261,Jupiter,due-east,Jupiter rises due east over Giza
-258,Saturn,due-east,Saturn rises due east over Giza
-258,Uranus,due-east,Uranus rises due east over Giza
-255,Jupiter,due-east,Jupiter rises due east over Giza
-249,Jupiter,due-east,Jupiter rises due east over Giza
-243,Jupiter,due-east,Jupiter rises due east over Giza
-242,Saturn,due-east,Saturn rises due east over Giza
-237,Jupiter,due-east,Jupiter rises due east over Giza
-233,Sun,eclipse-annular,"Annular solar eclipse over Giza, -233-07-12"
-231,Jupiter,due-east,Jupiter rises due east over Giza
-228,Saturn,due-east,Saturn rises due east over Giza
-225,Jupiter,due-east,Jupiter rises due east over Giza
-220,Jupiter,due-east,Jupiter rises due east over Giza
-216,Uranus,due-east,Uranus rises due east over Giza
-213,Jupiter,due-east,Jupiter rises due east over Giza
-213,Saturn,due-east,Saturn rises due east over Giza
-208,Jupiter,due-east,Jupiter rises due east over Giza
-205,Sun,eclipse-annular,"Annular solar eclipse over Giza, -205-12-28"
-201,Jupiter,due-east,Jupiter rises due east over Giza
-199,Saturn,due-east,Saturn rises due east over Giza
-198,Neptune,due-east,Neptune rises due east over Giza
-196,Jupiter,due-east,Jupiter rises due east over Giza
-189,Jupiter,due-east,Jupiter rises due east over Giza
-184,Jupiter,due-east,Jupiter rises due east over Giza
-183,Saturn,due-east,Saturn rises due east over Giza
-178,Jupiter,due-east,Jupiter rises due east over Giza
